Month,Year, Category ,date,power_generation,Feed-in,Load,grid_connected,Charge,battery_level
9,22,5,05/09/22,10.9,0.71,21.39,11.2,4.6,4.4
9,22,6,06/09/22,13,0.75,21.65,9.4,4.4,4.3
9,22,7,07/09/22,12,0.76,18.59,7.35,3.7,3.6
9,22,8,08/09/22,9.8,0.77,17.83,8.8,4.3,4.1
9,22,9,09/09/22,12.9,0.79,21.79,9.68,4.4,5.2
9,22,10,10/09/22,7.6,0.29,13.59,6.28,3.4,3.2
9,22,11,11/09/22,14.3,0.36,21.92,7.98,4.9,5.3
9,22,12,12/09/22,11.4,0.49,21.22,10.31,5.4,4.4
9,22,13,13/09/22,13.9,0.56,22.31,8.97,4.6,4.2
9,22,14,14/09/22,13.4,0.54,22.43,9.57,4.1,4.2
9,22,15,15/09/22,15.5,0.43,23.15,8.08,3.7,4.5
9,22,16,16/09/22,9.2,0.24,21.21,12.25,5.7,3.9
9,22,17,17/09/22,11.8,0.11,22.93,11.24,6.3,6.3
9,22,18,18/09/22,5.2,0.01,23.56,18.37,7.4,7.2
9,22,19,19/09/22,6,0.02,19.43,13.45,5.7,5.6
9,22,20,20/09/22,13.5,0.15,22.5,9.15,4.4,4.2
9,22,21,21/09/22,11.2,0.33,19.04,8.17,4.2,4.7
9,22,22,22/09/22,13.3,0.2,19.37,6.27,4.6,4.3
9,22,23,23/09/22,12,0.16,20.2,8.36,4.5,4.1
9,22,24,24/09/22,12.8,0.12,26.26,13.58,5.4,5.5
9,22,25,25/09/22,7,0.13,22.66,15.79,5.7,5.1
9,22,26,26/09/22,3.3,0.02,17.39,14.11,5.2,5.1
9,22,27,27/09/22,7.6,0.12,22.62,15.14,7.5,7.2
9,22,28,28/09/22,5.9,0.14,20.32,14.56,4.6,4.6
9,22,29,29/09/22,4.2,0.06,27.88,23.74,7.4,6.9
9,22,30,30/09/22,7.6,0.35,15.34,8.09,2.5,2.5
10,22,1,01/10/22,11.6,0.37,21.48,10.25,2.3,2.5
10,22,2,02/10/22,13.1,0.33,21.67,8.9,2.2,2
10,22,3,03/10/22,10.8,0.32,16.4,5.92,0.6,0.5
10,22,4,04/10/22,8.4,0.24,17.45,9.29,3.8,4
10,22,5,05/10/22,12.8,0.25,20.54,7.99,3.1,3.4
10,22,6,06/10/22,12.8,0.3,22.28,9.78,5.3,5.1
10,22,7,07/10/22,12.2,0.65,22.84,11.29,4.9,4.3
10,22,8,08/10/22,14.5,0.58,23.01,9.09,2.2,2.2
10,22,9,09/10/22,16.5,0.71,21.64,5.85,4.1,4
10,22,10,10/10/22,13.4,0.6,20.41,7.61,4.1,4
10,22,11,11/10/22,13,0.15,21.6,8.75,6.3,6.5
10,22,12,12/10/22,12.7,0.34,22.12,9.76,5.8,5.6
10,22,13,13/10/22,13.9,0.15,23.63,9.88,8.8,7.8
10,22,14,14/10/22,9.6,0.09,21.32,11.81,6.3,6.1
10,22,15,15/10/22,6.7,0.08,21.41,14.79,7.9,7.5
10,22,16,16/10/22,7.7,0.04,22.57,14.91,8.7,8.1
10,22,17,17/10/22,13.4,0.19,21.73,8.52,5.5,5.4
10,22,18,18/10/22,0,0,0.02,0.02,0,0.2
10,22,19,19/10/22,12.3,0.4,21.17,9.27,4.3,4.2
10,22,20,20/10/22,19.4,0.11,26.78,7.49,5.4,5
10,22,21,21/10/22,12.2,0.3,20,8.1,5.3,5.7
10,22,22,22/10/22,2.7,0.06,5.8,3.16,0.7,0.6
10,22,23,23/10/22,12.4,0.28,18.64,6.52,4.2,4.1
10,22,24,24/10/22,0,0,0.97,0.97,0.2,0.7
10,22,25,25/10/22,9.6,0.2,18.29,8.89,5.1,4.5
10,22,26,26/10/22,8.6,0.45,20.37,12.22,4.2,4.2
10,22,27,27/10/22,13.3,0.28,28.92,15.9,4.7,4.5
10,22,28,28/10/22,8,0.3,16.5,8.8,4,3.9
10,22,29,29/10/22,15,0.27,27.17,12.44,4.4,4.3
10,22,30,30/10/22,15.3,0.16,22.06,6.92,3.6,3.6
10,22,31,31/10/22,12.3,0.29,19.14,7.13,3.9,3.8
11,22,1,01/11/22,14.3,0.34,20.79,6.83,3.8,3.9
11,22,2,02/11/22,16.1,0.41,21.68,5.99,4.6,4.1
11,22,3,03/11/22,11.1,0.29,21.08,10.27,4.2,4
11,22,4,04/11/22,11.5,0.4,19.92,8.82,4.1,4.4
11,22,5,05/11/22,0,0,0.98,0.98,0.2,0.5
11,22,6,06/11/22,13.5,0.41,19.99,6.9,4.1,3.7
11,22,7,07/11/22,8.7,0.14,22,13.44,5.9,5.8
11,22,8,08/11/22,12.2,0.12,20.31,8.23,6.4,6.4
11,22,9,09/11/22,12.1,0.31,22.43,10.64,7.4,6.7
11,22,10,10/11/22,10.4,0.25,20.59,10.44,5.7,5.5
11,22,11,11/11/22,10.1,0.23,19.11,9.24,3.4,3.3
11,22,12,12/11/22,7.2,0.09,21.53,14.42,6.5,6.3
11,22,13,13/11/22,15.5,0.33,21.65,6.48,4.8,4.8
11,22,14,14/11/22,12.9,0.37,19.26,6.73,4,3.8
11,22,15,15/11/22,10.6,0.37,19.52,9.29,3,3
11,22,16,16/11/22,10.8,0.32,17.11,6.63,4.2,4.1
